backbone,val_best_f1,test_loss,test_acc,test_macro_f1,precision_macro,recall_macro,weights
efficientnet_b0,0.9639769157409196,0.0986450323160671,0.9710144927536232,0.9703837278346064,0.969955289808231,0.9709956709956712,tl_efficientnet_b0_best.pt
densenet121,0.9705828396371238,0.1321825445561114,0.9710144927536232,0.9703775046372736,0.9727564102564102,0.9696428571428573,tl_densenet121_best.pt
convnext_tiny,0.9757359371747768,0.0664029726083694,0.9710144927536232,0.9703775046372736,0.9727564102564102,0.9696428571428573,tl_convnext_tiny_best.pt
resnet34,0.9582480241102556,0.1268279984411176,0.9637681159420288,0.9645180906050472,0.9656432748538012,0.964745670995671,tl_resnet34_best.pt
custom_cnn,0.9226047727568628,0.1309626646680703,0.9637681159420288,0.9628146453089246,,,custom_cnn_best.pt
vit_b_16,0.9691837331771093,0.13327975484772006,0.9637681159420289,0.9625757427259226,,,vit_best.pt
