backbone,val_best_f1,test_loss,test_acc,test_macro_f1,precision_macro,recall_macro,weights
efficientnet_b0,0.9639769157409197,0.09864503231606711,0.9710144927536232,0.9703837278346064,0.969955289808231,0.9709956709956711,tl_efficientnet_b0_best.pt
densenet121,0.9705828396371238,0.13218254455611148,0.9710144927536232,0.9703775046372736,0.9727564102564102,0.9696428571428571,tl_densenet121_best.pt
convnext_tiny,0.9757359371747767,0.06640297260836948,0.9710144927536232,0.9703775046372736,0.9727564102564102,0.9696428571428571,tl_convnext_tiny_best.pt
resnet34,0.9582480241102557,0.1268279984411176,0.9637681159420289,0.9645180906050472,0.9656432748538012,0.964745670995671,tl_resnet34_best.pt
custom_cnn,0.9226047727568628,0.13096266466807033,0.9637681159420289,0.9628146453089246,,,custom_cnn_best.pt
